,,,,,Games,Games,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles
Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
314,Marqui Christian\ChriMa00,LAR,25,/fs,16,1,0,23,13,56.5%,124,9.5,5.4,2,100.6,7.3,95,29,9,0,0,0.0,0,36,8,18.2%
315,Frank Clark *\ClarFr01,KAN,26,RDE,14,11,1,7,6,85.7%,41,6.8,5.9,0,51.5,0.4,1,40,5,12,7,8.0,27,37,5,11.9%
316,Brandon Copeland\CopeBr00,NYJ,28,,12,3,0,18,13,72.2%,104,8.0,5.8,1,104.9,5.7,58,46,29,0,0,1.5,2,42,9,17.6%
317,Kamalei Correa\CorrKa00,TEN,25,lolb,16,5,0,6,3,50.0%,16,5.3,2.7,0,56.2,0.5,8,8,28,5,1,5.0,11,37,2,5.1%
318,Quandre Diggs\DiggQu00,2TM,26,,10,10,3,11,5,45.5%,85,17.0,7.7,1,62.9,14.1,58,27,2,0,0,0.0,0,41,11,21.2%
319,Leonard Floyd\FloyLe00,CHI,27,ROLB,16,16,0,17,14,82.4%,76,5.4,4.5,0,85.3,1.5,2,74,51,15,8,3.0,26,40,7,14.9%
320,Dre Kirkpatrick\KirkDr00,CIN,30,lcb,6,6,0,30,19,63.3%,247,13.0,8.2,3,122.5,8.6,125,122,0,0,0,1.0,1,33,4,10.8%
321,Clay Matthews\MattCl99,LAR,33,LILB,13,13,0,10,9,90.0%,122,13.6,12.2,0,117.5,5.7,45,77,61,16,4,8.0,28,37,10,21.3%
322,Kevin Pierre-Louis\PierKe00,CHI,28,/il,14,3,1,21,14,66.7%,87,6.2,4.1,0,55.1,2.0,37,50,9,2,2,0.0,4,37,4,9.8%
323,Curtis Riley\RileCu00,OAK,27,,16,3,0,13,9,69.2%,172,19.1,13.2,2,151.4,15.2,130,42,6,1,0,0.0,1,34,5,12.8%
324,Chandon Sullivan\SullCh00,GNB,23,,16,0,1,31,11,35.5%,120,10.9,3.9,0,34.3,10.7,73,47,14,0,1,0.0,1,30,1,3.2%
325,Morgan Burnett\BurnMo99,CLE,30,FS/ss,8,8,1,21,14,66.7%,178,12.7,8.5,2,104.9,12.0,114,64,16,2,1,2.0,5,41,4,8.9%
326,Juston Burris\BurrJu00,CLE,26,cb/DB,14,9,2,18,11,61.1%,156,14.2,8.7,3,89.1,8.0,75,81,25,3,1,1.0,5,32,5,13.5%
327,Jurrell Casey*\CaseJu00,TEN,30,DT/RDE,14,14,0,0,0,,0,,,0,,,0,0,0,12,4,5.0,21,44,5,10.2%
328,William Compton\CompWi00,OAK,30,,9,4,0,16,14,87.5%,131,9.4,8.2,0,100.8,2.9,38,93,9,1,0,0.0,1,41,2,4.7%
329,Fletcher Cox*\CoxxFl00,PHI,29,RDT,16,16,0,2,1,50.0%,10,10.0,5.0,0,64.6,2.0,-1,11,0,10,6,3.5,21,40,5,11.1%
330,Tyeler Davison\DaviTy01,ATL,27,RDT,16,12,0,0,0,,0,,,0,,,0,0,0,2,1,1.0,4,55,0,0.0%
331,Samson Ebukam\EbukSa00,LAR,24,ROLB,16,5,0,11,7,63.6%,53,7.6,4.8,0,75.2,1.9,11,42,57,5,5,4.5,15,48,5,9.4%
332,William Gholston\GholWi00,TAM,28,RDE,16,8,0,1,1,100.0%,15,15.0,15.0,0,118.7,0.0,0,15,6,3,6,1.0,12,38,2,5.0%
333,Everson Griffen*\GrifEv99,MIN,32,DE/RDE,15,15,1,4,3,75.0%,12,4.0,3.0,0,37.5,-3.0,-1,13,0,13,13,8.0,35,41,5,10.9%
334,William Jackson III\JackWi02,CIN,27,RCB,14,13,1,67,39,58.2%,549,14.1,8.2,3,93.4,11.3,392,157,2,0,0,0.0,0,37,3,7.5%
335,Linval Joseph\JoseLi99,MIN,31,LDT/NT,13,13,0,0,0,,0,,,0,,,0,0,0,2,2,3.0,7,44,1,2.2%
336,Arthur Maulet\MaulAr00,NYJ,26,rcb,12,6,1,42,28,66.7%,269,9.6,6.4,0,74.4,8.6,167,102,1,0,0,0.0,0,38,6,13.6%
337,Will Parks\ParkWi01,DEN,25,db/fs,14,7,1,37,21,56.8%,264,12.6,7.1,3,94.9,10.3,174,90,12,1,1,1.0,3,35,7,16.7%
338,Robert Quinn\QuinRo00,DAL,29,DE/RDE,14,14,0,3,1,33.3%,6,6.0,2.0,0,42.4,-0.7,-4,10,0,12,11,11.5,35,34,4,10.5%
339,Kiko Alonso\AlonKi00,NOR,29,,13,4,0,18,14,77.8%,105,7.5,5.8,1,109.5,8.0,72,33,23,4,1,0.0,5,31,2,6.1%
340,Derek Barnett\BarnDe01,PHI,23,LDE,14,14,0,1,1,100.0%,14,14.0,14.0,0,118.7,11.0,11,3,2,4,15,6.5,26,30,3,9.1%
341,Malcolm Butler\ButlMa01,TEN,29,rcb,9,9,2,57,36,63.2%,460,12.8,8.1,3,91.3,12.6,324,136,3,0,0,0.0,0,32,6,15.8%
342,Lorenzo Carter\CartLo01,NYG,24,ROLB,15,12,0,5,3,60.0%,35,11.7,7.0,0,81.2,9.0,-7,42,78,9,9,4.5,23,45,8,15.1%
343,Darqueze Dennard\DennDa00,CIN,28,cb/db,9,5,0,35,17,48.6%,188,11.1,5.4,1,74.5,5.0,77,111,11,2,2,0.0,4,37,3,7.5%
