,,,,,Games,Games,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Coverage,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Pass Rush,Tackles,Tackles,Tackles
Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%
344,Kemal Ishmael\IshmKe00,ATL,28,/ss,14,3,0,19,16,84.2%,204,12.8,10.7,2,146.5,8.9,134,70,7,1,0,0.0,1,44,3,6.4%
345,Kevin Johnson\JohnKe04,BUF,27,/cb,16,1,0,44,26,59.1%,301,11.6,6.8,0,79.8,9.1,201,100,6,0,0,1.0,1,36,6,14.3%
346,Sebastian Joseph\JoseSe00,LAR,24,,16,15,0,1,1,100.0%,4,4.0,4.0,0,83.3,-6.0,-6,10,3,5,1,2.0,8,44,3,6.4%
347,Cassius Marsh\MarsCa00,ARI,27,,16,3,0,7,7,100.0%,73,10.4,10.4,0,110.1,-0.6,-4,77,55,5,3,2.5,11,36,4,10.0%
348,Jordan Phillips\PhilJo01,BUF,27,dt/LDT,16,9,0,1,1,100.0%,15,15.0,15.0,0,118.7,-5.0,-5,20,0,5,5,9.5,20,31,8,20.5%
349,Will Redmond\RedmWi00,GNB,26,,13,4,0,7,5,71.4%,68,13.6,9.7,0,102.1,11.3,38,30,6,0,0,0.0,0,36,4,10.0%
350,Kyzir White\WhitKy00,LAC,23,rlb,16,7,1,16,12,75.0%,92,7.7,5.8,1,83.3,1.8,22,70,4,0,0,0.0,0,40,3,7.0%
351,Wesley Woodyard\WoodWe20,TEN,33,/il,15,2,0,22,17,77.3%,202,11.9,9.2,1,119.9,6.5,109,93,13,1,1,1.0,3,42,5,10.6%
352,Michael Bennett\BennMi99,2TM,34,,15,1,0,1,1,100.0%,-6,-6.0,-6.0,0,79.2,-5.0,-5,-1,0,8,9,6.5,24,32,2,5.9%
353,Marquise Blair\BlaiMa01,SEA,22,,14,3,0,17,11,64.7%,128,11.6,7.5,2,126.6,6.4,83,45,1,0,0,0.0,0,32,4,11.1%
354,Rasul Douglas\DougRa00,PHI,24,rcb,16,6,0,72,41,56.9%,637,15.5,8.8,6,114.2,13.0,448,189,2,0,1,0.0,1,35,2,5.4%
355,Javien Elliott\ElliJa01,CAR,26,,16,3,1,36,28,77.8%,283,10.1,7.9,0,87.8,4.8,110,173,17,0,1,0.5,2,38,4,9.5%
356,Clelin Ferrell\FerrCl00,OAK,22,LDE,15,15,0,4,3,75.0%,12,4.0,3.0,0,77.1,2.0,-3,15,0,8,2,4.5,15,38,5,11.6%
357,John Johnson\JohnJo10,LAR,24,ss,6,5,2,23,16,69.6%,214,13.4,9.3,1,77.1,9.5,122,92,5,0,0,0.0,0,51,7,12.1%
358,Dexter Lawrence\LawrDe03,NYG,22,RDE,16,16,0,3,3,100.0%,12,4.0,4.0,0,83.3,-3.0,-9,21,0,5,5,2.5,15,38,5,11.6%
359,Trent Murphy\MurpTr00,BUF,29,LDE,16,16,1,3,2,66.7%,14,7.0,4.7,0,37.5,0.3,6,8,3,9,5,5.0,19,36,5,12.2%
360,Carl Nassib\NassCa00,TAM,26,de/lolb,14,8,0,2,2,100.0%,19,9.5,9.5,0,106.2,5.5,11,8,84,5,5,6.0,17,34,4,10.5%
361,Ed Oliver\OlivEd00,BUF,22,rdt,16,7,0,1,1,100.0%,8,8.0,8.0,0,100.0,4.0,4,4,0,4,3,5.0,12,43,3,6.5%
362,Jason Pierre-Paul\PierJa99,TAM,30,LOLB,10,8,0,4,4,100.0%,38,9.5,9.5,0,106.2,3.3,13,25,23,9,6,8.5,24,27,8,22.9%
363,LeShaun Sims\SimsLe00,TEN,26,,14,2,0,33,22,66.7%,310,14.1,9.4,3,127.1,11.7,179,131,1,0,0,0.0,0,35,6,14.6%
364,Terrell Suggs\SuggTe99,2TM,37,,15,13,0,3,3,100.0%,58,19.3,19.3,0,118.7,3.3,10,48,86,6,3,6.5,17,40,8,16.7%
365,Nick Williams\WillNi01,CHI,29,dt,16,5,0,2,2,100.0%,8,4.0,4.0,0,83.3,-0.5,-1,9,0,3,3,6.0,12,42,0,0.0%
366,Ahkello Witherspoon\WithAh00,SFO,24,rcb,10,8,1,53,30,56.6%,376,12.5,7.1,6,108.7,10.9,215,161,3,0,0,0.0,0,28,7,20.0%
367,Josh Bynes\ByneJo00,BAL,30,il/LILB,12,7,2,16,11,68.8%,106,9.6,6.6,0,47.4,1.6,16,90,37,2,1,1.0,4,46,6,11.5%
368,B.J. Goodson\GoodB.00,GNB,26,il/RILB,15,9,0,9,7,77.8%,49,7.0,5.4,1,126.4,1.4,14,35,6,0,0,0.0,0,37,2,5.1%
369,Marcell Harris\HarrMa03,SFO,25,,13,4,0,17,10,58.8%,115,11.5,6.8,2,118.5,10.2,77,38,9,1,1,0.0,2,40,7,14.9%
370,Derwin James\JameDe00,LAC,23,fs,5,5,0,14,12,85.7%,43,3.6,3.1,1,103.3,0.0,-5,48,17,1,0,0.0,1,34,4,10.5%
371,Chris Jones*\JoneCh09,KAN,25,LDT,13,12,0,1,0,0.0%,7,,7.0,0,56.2,0.0,0,7,0,7,11,9.0,27,36,2,5.3%
372,Dean Lowry\LowrDe00,GNB,25,LDE,16,16,1,0,0,,0,,,0,,,0,0,0,3,2,0.0,5,47,4,7.8%
373,Uchenna Nwosu\NwosUc00,LAC,23,,16,3,0,7,5,71.4%,18,3.6,2.6,0,74.1,4.3,2,16,20,10,5,2.0,17,31,7,18.4%
374,Emmanuel Ogbah\OgbaEm00,KAN,26,/de,10,4,0,0,0,,0,,,0,,,0,0,0,4,5,5.5,14,32,5,13.5%
375,Adrian Phillips\PhilAd00,LAC,27,db/ss,7,5,0,17,15,88.2%,109,7.3,6.4,0,93.4,4.5,72,37,4,0,0,0.0,0,36,6,14.3%
376,Reggie Ragland\RaglRe00,KAN,26,il/RLB,14,7,0,14,9,64.3%,60,6.7,4.3,0,73.5,1.3,16,44,28,2,1,2.0,4,30,1,3.2%
377,Marvell Tell III\TellMa00,IND,23,,13,1,0,35,20,57.1%,244,12.2,7.0,2,97.8,9.9,172,72,1,0,0,0.0,0,26,0,0.0%
378,Darian Thompson\ThomDa05,DAL,26,,15,4,0,16,10,62.5%,156,15.6,9.8,2,134.4,13.7,108,48,7,0,0,1.5,2,45,6,11.8%
379,Dalvin Tomlinson\TomlDa00,NYG,25,NT,16,16,0,0,0,,0,,,0,,,0,0,0,3,5,3.5,13,49,3,5.8%
380,Derek Wolfe\WolfDe00,DEN,29,DE/RDE,12,12,0,1,0,0.0%,0,,0.0,0,39.6,-5.0,0,0,0,5,6,7.0,18,34,3,8.1%
381,Kwon Alexander\AlexKw00,SFO,25,LLB,8,8,1,21,13,61.9%,86,6.6,4.1,0,50.9,3.2,9,77,13,2,0,0.5,3,34,7,17.1%
382,Vernon Butler\ButlVe00,CAR,25,de/RDE,14,9,0,0,0,,0,,,0,,,0,0,0,2,4,6.0,12,32,2,5.9%
383,Jermaine Carter Jr.\CartJe00,CAR,24,LILB,16,5,0,12,9,75.0%,70,7.8,5.8,0,88.9,4.3,41,29,12,1,2,0.5,4,31,3,8.8%
384,Samuel Eguavoen\EguaSa00,MIA,26,LOLB,16,6,0,10,7,70.0%,61,8.7,6.1,0,85.8,4.1,27,34,63,1,4,3.5,9,42,7,14.3%
385,L.J. Fort\FortL.00,2TM,29,,16,8,0,16,11,68.8%,95,8.6,5.9,0,84.1,2.1,9,86,26,4,0,2.0,6,37,4,9.8%
386,Bruce Irvin\IrviBr00,CAR,32,ROLB,13,12,0,3,3,100.0%,44,14.7,14.7,0,118.7,-1.3,-4,48,41,9,5,8.5,23,36,5,12.2%
387,Trumaine Johnson\JohnTr05,NYJ,29,cb/lcb,7,5,1,27,20,74.1%,219,11.0,8.1,1,94.5,10.4,152,67,2,0,0,0.0,0,25,0,0.0%
388,Darron Lee\LeexDa00,KAN,25,/il,16,2,0,15,15,100.0%,130,8.7,8.7,0,102.8,2.3,35,95,11,1,0,0.0,1,31,5,13.9%
389,David Onyemata\OnyeDa00,NOR,27,LDT,15,15,0,2,2,100.0%,21,10.5,10.5,0,110.4,3.5,7,14,0,6,6,3.0,15,32,4,11.1%
390,Roy Robertson-Harris\RobeRo00,CHI,26,LDE,15,7,0,1,1,100.0%,0,0.0,0.0,0,79.2,0.0,0,0,0,7,6,2.5,16,30,5,14.3%
391,Ndamukong Suh\SuhxNd99,TAM,32,LDE,16,16,0,1,0,0.0%,0,,0.0,0,39.6,-4.0,0,0,0,10,10,2.5,24,41,3,6.8%
392,Andrew Wingard\WingAn01,JAX,23,,16,2,0,6,6,100.0%,111,18.5,18.5,2,158.3,12.8,77,34,10,1,1,1.0,3,30,3,9.1%
393,Tyson Alualu\AluaTy99,PIT,32,rde,16,5,0,1,1,100.0%,18,18.0,18.0,0,118.7,-6.0,-6,24,0,3,2,1.0,6,41,3,6.8%
394,Corey Ballentine\BallCo00,NYG,23,,13,2,0,42,27,64.3%,393,14.6,9.4,4,126.4,11.6,247,146,7,0,1,0.0,1,26,1,3.7%
395,Jadeveon Clowney\ClowJa00,SEA,26,DE/LDE,13,11,1,2,1,50.0%,4,4.0,2.0,0,16.7,-1.0,1,3,1,17,10,3.0,30,31,4,11.4%
396,Poona Ford\FordPo00,SEA,24,RDT,15,14,0,1,0,0.0%,0,,0.0,0,39.6,-5.0,0,0,0,1,2,0.5,4,32,5,13.5%
397,Najee Goode\GoodNa00,JAX,30,,10,4,0,21,15,71.4%,149,9.9,7.1,1,107.0,2.3,33,116,12,1,0,1.0,2,27,6,18.2%
398,Nate Hairston\HairNa00,NYJ,25,LCB,11,6,1,34,24,70.6%,390,16.3,11.5,3,125.9,10.3,202,188,4,0,1,0.0,1,24,8,25.0%
399,Jordan Jenkins\JenkJo01,NYJ,25,LLB,14,13,0,7,6,85.7%,24,4.0,3.4,0,81.0,1.3,-2,26,58,4,4,8.0,16,32,3,8.6%
400,Josey Jewell\JeweJo00,DEN,25,,15,3,0,14,11,78.6%,100,9.1,7.1,0,96.4,6.2,44,56,9,1,0,1.5,3,38,6,13.6%
401,DaQuan Jones\JoneDa04,TEN,28,NT,16,16,0,3,2,66.7%,16,8.0,5.3,0,79.9,6.3,12,4,0,6,2,1.0,9,42,6,12.5%
402,Tanoh Kpassagnon\KpasTa00,KAN,25,LDE,16,8,0,1,1,100.0%,37,37.0,37.0,0,118.7,4.0,4,33,1,5,7,4.0,16,29,3,9.4%
403,Shaq Lawson\LawsSh00,BUF,25,,15,0,0,2,2,100.0%,7,3.5,3.5,0,81.2,2.0,4,3,0,12,9,6.5,28,32,7,17.9%
404,Steve McLendon\McLeSt00,NYJ,33,LDT,16,16,0,2,2,100.0%,39,19.5,19.5,1,158.3,-5.0,-10,49,0,4,3,2.5,10,36,2,5.3%
405,Kevin Minter\MintKe00,TAM,29,,16,2,0,23,19,82.6%,223,11.7,9.7,1,121.6,7.0,137,86,46,4,1,0.0,5,34,6,15.0%
406,Al-Quadin Muhammad\MuhaAl00,IND,24,,16,4,0,2,2,100.0%,15,7.5,7.5,0,97.9,1.5,3,12,0,3,5,3.0,11,28,4,12.5%
407,Kyle Phillips\PhilKy00,NYJ,24,,15,4,0,3,3,100.0%,40,13.3,13.3,0,118.7,2.0,6,34,0,5,2,1.5,9,39,4,9.3%
408,Joe Thomas\ThomJo04,DAL,28,,15,2,0,12,7,58.3%,67,9.6,5.6,0,74.0,4.8,1,66,15,1,0,0.0,1,33,3,8.3%
409,Leonard Williams\WillLe02,2TM,25,,15,12,0,1,1,100.0%,6,6.0,6.0,0,91.7,6.0,6,0,0,8,14,0.5,23,46,3,6.1%
410,Blidi Wreh-Wilson\WrehBl00,ATL,30,,14,2,0,33,15,45.5%,226,15.1,6.8,1,78.6,11.3,151,75,0,0,0,0.0,0,25,4,13.8%
411,Mario Addison\AddiMa00,CAR,32,LOLB,15,15,0,3,2,66.7%,19,9.5,6.3,0,84.0,7.7,13,6,4,8,3,9.5,22,34,1,2.9%
412,Denico Autry\AutrDe00,IND,29,DT,14,14,0,0,0,,0,,,0,,,0,0,1,7,5,3.5,17,32,3,8.6%
413,Sam Beal\BealSa00,NYG,23,,6,3,0,21,16,76.2%,171,10.7,8.1,1,115.4,9.1,128,43,0,0,0,0.0,0,26,0,0.0%
414,Tyus Bowser\BowsTy00,BAL,24,,16,0,0,5,2,40.0%,8,4.0,1.6,0,47.9,0.8,-1,9,84,4,5,5.0,14,24,1,4.0%
415,Kris Boyd\BoydKr00,MIN,23,,16,0,0,13,9,69.2%,93,10.3,7.2,0,89.6,8.1,55,38,0,0,0,0.0,0,22,2,8.3%
416,Christian Covington\CoviCh00,DAL,26,de/rdt,16,6,0,1,0,0.0%,0,,0.0,0,39.6,-5.0,0,0,0,1,1,1.0,3,28,5,15.2%
417,Vinny Curry\CurrVi00,PHI,31,,16,2,0,2,2,100.0%,13,6.5,6.5,0,93.7,5.0,10,3,0,7,6,5.0,18,27,1,3.6%
418,Jaylon Ferguson\FergJa02,BAL,24,LOLB,14,9,0,2,2,100.0%,-4,-2.0,-2.0,0,79.2,-4.0,-8,4,110,4,6,2.5,13,31,3,8.8%
419,Myles Garrett\GarrMy00,CLE,24,LDE,10,10,0,1,1,100.0%,9,9.0,9.0,0,104.2,5.0,5,4,7,10,9,10.0,29,29,1,3.3%
420,Eddie Goldman\GoldEd00,CHI,25,NT,15,15,0,0,0,,0,,,0,,,0,0,0,4,1,1.0,6,29,2,6.5%
421,Rodney Gunter\GuntRo00,ARI,27,DE/RDE,13,13,0,0,0,,0,,,0,,,0,0,0,3,6,3.0,13,31,2,6.1%
422,John Jenkins\JenkJo00,MIA,30,de/lde,16,5,0,0,0,,0,,,0,,,0,0,0,1,0,1.0,2,34,3,8.1%
423,Nevin Lawson\LawsNe00,OAK,28,db,11,5,0,26,14,53.8%,198,14.1,7.6,2,104.3,11.3,133,65,5,0,0,0.0,0,24,2,7.7%
424,Ryan Lewis\LewiRy01,3TM,25,,13,3,1,36,21,58.3%,344,16.4,9.6,1,88.2,15.9,272,72,0,0,0,0.0,0,28,1,3.4%
425,Craig Robertson\RobeCr00,NOR,31,,15,1,1,14,13,92.9%,97,7.5,6.9,1,89.6,3.7,40,57,14,0,1,1.0,2,27,6,18.2%
426,Jabaal Sheard\SheaJa00,IND,30,DE/RDE,13,12,0,5,4,80.0%,21,5.3,4.2,0,84.2,4.6,7,14,0,11,4,4.5,20,25,7,21.9%
427,Olivier Vernon\VernOl00,CLE,29,RDE,10,10,0,2,1,50.0%,-1,-1.0,-0.5,0,56.2,-0.5,-1,0,21,8,5,3.5,17,26,8,23.5%
428,Jaylen Watkins\WatkJa01,LAC,28,/ss,14,3,0,29,24,82.8%,223,9.3,7.7,1,110.2,7.0,107,116,2,1,0,0.0,1,29,3,9.4%
429,Deatrich Wise Jr.\WiseDe00,NWE,25,,14,3,0,0,0,,0,,,0,,,0,0,0,7,5,2.0,14,26,2,7.1%
430,Blessuan Austin\AustBl00,NYJ,23,rcb,7,6,0,37,23,62.2%,265,11.5,7.2,1,92.7,8.5,173,92,0,0,0,0.0,0,25,6,19.4%
431,Brian Burns\BurnBr00,CAR,21,rolb,16,5,0,1,1,100.0%,4,4.0,4.0,0,83.3,-6.0,-6,10,12,8,7,7.5,23,25,3,10.7%
432,Duron Harmon\HarmDu00,NWE,28,db/ss,16,8,2,15,8,53.3%,118,14.8,7.9,0,39.7,13.8,104,14,20,0,2,0.0,2,22,2,8.3%
433,Travin Howard\HowaTr00,LAR,23,,16,0,0,15,9,60.0%,106,11.8,7.1,0,81.5,7.7,59,47,1,0,0,0.0,0,22,0,0.0%
434,D.J. Jones\JoneD.01,SFO,24,LDT,11,11,0,1,1,100.0%,4,4.0,4.0,0,83.3,-2.0,-2,6,0,2,0,2.0,4,23,2,8.0%
435,Sidney Jones\JoneSi00,PHI,23,,12,4,2,31,16,51.6%,189,11.8,6.1,2,65.1,11.0,98,91,1,0,0,0.0,0,23,2,8.0%
436,Jayron Kearse\KearJa00,MIN,25,/fs,15,3,1,21,12,57.1%,106,8.8,5.0,0,50.9,8.9,56,50,7,0,0,0.0,0,28,1,3.4%
437,Trey Marshall\MarsTr00,DEN,23,,16,2,0,11,8,72.7%,150,18.8,13.6,0,114.8,18.7,129,21,0,0,0,0.0,0,25,1,3.8%
438,Bobby McCain\McCaBo01,MIA,26,FS,9,8,2,18,12,66.7%,157,13.1,8.7,3,94.0,13.3,121,36,13,1,0,0.0,1,25,10,28.6%
439,Corey Peters\PeteCo00,ARI,31,NT,16,16,0,0,0,,0,,,0,,,0,0,0,5,3,2.5,11,38,7,15.6%
440,Michael Pierce\PierMi00,BAL,27,NT,14,14,0,0,0,,0,,,0,,,0,0,1,1,1,0.5,3,35,1,2.8%
441,Vita Vea\VeaxVi00,TAM,24,NT,16,16,0,2,1,50.0%,13,13.0,6.5,0,70.8,0.5,-3,16,2,7,10,2.5,22,35,4,10.3%
442,Troy Apke\ApkeTr00,WAS,24,,15,2,1,6,4,66.7%,50,12.5,8.3,0,52.8,6.0,30,20,0,0,0,0.0,0,26,3,10.3%
443,Geno Atkins*\AtkiGe99,CIN,31,RDE,16,14,0,1,1,100.0%,16,16.0,16.0,0,118.7,-4.0,-4,20,0,10,5,4.5,20,47,6,11.3%
444,Tarell Basham\BashTa00,NYJ,25,,16,2,1,10,9,90.0%,70,7.8,7.0,0,56.2,4.4,38,32,32,10,2,2.0,14,33,2,5.7%
445,Andrew Billings\BillAn00,CIN,24,NT,16,14,0,0,0,,0,,,0,,,0,0,0,2,2,1.0,5,35,4,10.3%
446,Malcom Brown\BrowMa01,NOR,25,RDT,16,16,0,2,1,50.0%,8,8.0,4.0,0,60.4,-1.0,5,3,0,1,1,2.0,4,34,2,5.6%
447,Taven Bryan\BryaTa00,JAX,23,RDT,16,8,0,1,1,100.0%,9,9.0,9.0,0,104.2,2.0,2,7,0,3,7,2.0,12,33,7,17.5%
448,P.J. Hall\HallP.00,OAK,24,LDT,16,12,0,0,0,,0,,,0,,,0,0,0,3,1,1.5,6,26,5,16.1%
449,Justin Jones\JoneJu03,LAC,24,LDT,12,12,0,3,3,100.0%,8,2.7,2.7,0,79.2,-3.0,-9,17,0,4,2,0.0,6,30,5,14.3%
450,Miles Killebrew\KillMi00,DET,26,,15,1,0,5,3,60.0%,44,14.7,8.8,0,88.7,8.4,6,38,7,0,0,0.0,0,20,2,9.1%
451,Takkarist McKinley\McKiTa00,ATL,24,LDE,14,13,0,2,2,100.0%,28,14.0,14.0,0,118.7,3.5,7,21,1,11,5,3.5,20,29,4,12.1%
452,Derrick Nnadi\NnadDe00,KAN,23,RDT,16,16,1,0,0,,0,,,0,,,0,0,0,3,1,1.0,5,48,3,5.9%
453,Ifeadi Odenigbo\OdenIf00,MIN,25,,16,0,0,0,0,,0,,,0,,,0,0,0,4,7,7.0,18,23,1,4.2%
454,Amani Oruwariye\OruwAm00,DET,23,,9,2,2,25,19,76.0%,212,11.2,8.5,3,107.0,10.2,142,70,1,0,0,0.0,0,19,1,5.0%
455,Elandon Roberts\RobeEl00,NWE,25,/il,16,3,0,8,6,75.0%,60,10.0,7.5,0,95.8,5.1,33,27,17,0,2,1.0,3,29,1,3.3%
456,Jeffery Simmons\SimmJe01,TEN,22,LDE,9,7,0,1,1,100.0%,9,9.0,9.0,0,104.2,0.0,0,9,0,3,0,2.0,5,32,3,8.6%
457,Tye Smith\SmitTy01,TEN,26,,9,3,0,22,15,68.2%,160,10.7,7.3,1,104.4,9.9,105,55,0,0,0,0.0,0,26,0,0.0%
458,Jamar Taylor\TaylJa01,2TM,29,,12,0,0,41,25,61.0%,275,11.0,6.7,1,89.0,9.8,157,118,14,0,0,0.0,0,23,2,8.0%
459,Stephon Tuitt\TuitSt00,PIT,26,RDE,6,6,0,0,0,,0,,,0,,,0,0,0,4,2,3.5,10,22,3,12.0%
460,Terrence Brooks\BrooTe00,NWE,27,,15,0,1,18,11,61.1%,112,10.2,6.2,0,55.8,5.6,75,37,13,0,3,0.0,3,24,1,4.0%
461,Zach Brown\BrowZa00,PHI,30,mlb,6,6,0,13,9,69.2%,86,9.6,6.6,0,87.3,1.5,14,72,10,0,0,0.0,0,31,2,6.1%
462,Adam Butler\ButlAd00,NWE,25,,16,2,0,1,0,0.0%,0,,0.0,0,39.6,1.0,0,0,0,0,1,6.0,9,26,1,3.7%
463,Kamu Grugier-Hill\GrugKa00,PHI,25,LLB,10,6,0,14,12,85.7%,83,6.9,5.9,0,91.4,1.7,11,72,18,1,0,0.0,1,23,3,11.5%
464,Chris Jones\JoneCh06,ARI,24,,11,3,0,25,14,56.0%,212,15.1,8.5,0,84.1,16.7,138,74,4,0,0,0.0,0,22,3,12.0%
465,Reshad Jones\JoneRe99,MIA,31,/fs,4,4,0,12,10,83.3%,130,13.0,10.8,2,151.4,6.3,71,59,8,1,0,0.0,1,27,2,6.9%
466,Kameron Kelly\KellKa02,PIT,23,,14,1,1,10,10,100.0%,141,14.1,14.1,2,118.7,9.7,97,44,1,0,0,0.0,0,21,4,16.0%
467,Tyler Lancaster\LancTy00,GNB,25,RDE,16,10,0,1,1,100.0%,2,2.0,2.0,0,79.2,-5.0,-5,7,0,1,0,1.5,3,30,2,6.3%
468,Carl Lawson\LawsCa00,CIN,24,,12,2,0,9,7,77.8%,95,13.6,10.6,0,110.6,3.4,30,65,9,4,14,5.0,23,23,4,14.8%
469,Pernell McPhee\McPhPe00,BAL,31,lolb,7,7,0,3,3,100.0%,17,5.7,5.7,0,90.3,0.7,2,15,43,3,3,3.0,9,19,0,0.0%
470,Tony McRae\McRaTo00,CIN,26,/cb,16,2,0,19,14,73.7%,224,16.0,11.8,1,130.2,9.9,120,104,7,0,1,0.0,1,22,1,4.3%
471,Terrance Mitchell\MitcTe00,CLE,27,,15,4,1,30,18,60.0%,212,11.8,7.1,0,67.6,9.4,126,86,0,0,0,0.0,0,21,2,8.7%
472,Chad Thomas\ThomCh06,CLE,24,lde,16,8,0,5,4,80.0%,20,5.0,4.0,0,83.3,-0.2,-5,25,9,5,0,4.0,9,26,4,13.3%
473,Ken Webster\WebsKe00,MIA,23,lcb,8,5,0,27,14,51.9%,219,15.6,8.1,1,91.4,16.3,188,31,0,0,0,0.0,0,19,1,5.0%
474,Chase Winovich\WinoCh00,NWE,24,,16,0,0,2,2,100.0%,17,8.5,8.5,0,102.1,-2.0,-4,21,6,9,3,5.5,19,26,2,7.1%
475,Chris Wormley\WormCh00,BAL,26,de/RDE,16,7,0,0,0,,0,,,0,,,0,0,0,4,4,1.5,10,33,1,2.9%
476,Kentrell Brothers\BrotKe00,MIN,26,,13,1,0,13,11,84.6%,82,7.5,6.3,0,92.9,4.9,35,47,2,0,0,0.0,0,23,0,0.0%
477,Deone Bucannon\BucaDe00,2TM,27,,14,1,0,12,8,66.7%,86,10.8,7.2,0,87.5,2.9,46,40,15,1,1,0.0,2,28,3,9.7%
478,Bradley Chubb\ChubBr00,DEN,23,,4,4,0,2,2,100.0%,34,17.0,17.0,0,118.7,1.5,3,31,13,5,4,1.0,10,21,8,27.6%
479,Adrian Colbert\ColbAd00,MIA,26,fs,6,5,0,6,2,33.3%,11,5.5,1.8,1,81.9,30.7,9,2,1,1,0,0.0,1,22,5,18.5%
480,Jamel Dean\DeanJa00,TAM,23,db,13,5,2,52,26,50.0%,317,12.2,6.1,3,72.4,10.4,198,119,0,0,0,0.0,0,21,2,8.7%
481,Trent Harris\HarrTr01,MIA,24,,11,3,0,2,2,100.0%,17,8.5,8.5,0,102.1,6.0,12,5,16,2,1,1.5,5,22,3,12.0%
482,Ryan Kerrigan\KerrRy00,WAS,31,ROLB,12,12,0,8,8,100.0%,49,6.1,6.1,0,92.2,2.5,20,29,35,11,6,5.5,25,25,2,7.4%
483,Tyler Matakevich\MataTy00,PIT,27,,16,0,0,0,0,,0,,,0,,,0,0,0,0,0,0.0,0,18,1,5.3%
484,Tarvarius Moore\MoorTa00,SFO,23,,16,3,0,5,1,20.0%,7,7.0,1.4,0,39.6,12.8,-1,8,1,0,0,0.0,0,25,5,16.7%
485,Malik Reed\ReedMa01,DEN,23,LOLB,15,8,0,6,4,66.7%,32,8.0,5.3,0,79.9,3.2,-6,38,38,6,3,2.0,9,27,2,6.9%
486,Josh Sweat\SweaJo00,PHI,22,,16,0,0,1,1,100.0%,1,1.0,1.0,1,118.7,1.0,1,0,2,5,5,4.0,15,21,0,0.0%
487,Al Woods\WoodAl99,SEA,32,dt/ldt,14,5,0,1,0,0.0%,0,,0.0,0,39.6,1.0,0,0,0,4,0,1.0,5,32,6,15.8%
488,Walt Aikens\AikeWa00,MIA,28,,15,0,0,10,10,100.0%,134,13.4,13.4,1,152.1,6.5,65,69,5,0,0,0.0,0,21,0,0.0%
489,Maliek Collins\CollMa00,DAL,24,DT/LDT,16,16,0,1,1,100.0%,10,10.0,10.0,0,108.3,-8.0,-8,18,0,12,5,4.0,21,20,3,13.0%
490,Marcus Davenport\DaveMa00,NOR,23,RDE,13,13,0,2,1,50.0%,-7,-7.0,-3.5,0,56.2,-0.5,-7,0,10,12,8,6.0,26,31,2,6.1%
491,Duke Dawson\DawsDu00,DEN,23,,14,3,0,20,15,75.0%,124,8.3,6.2,0,90.4,4.5,61,63,8,1,0,0.0,1,19,3,13.6%
492,T.J. Edwards\EdwaTJ02,PHI,23,,16,4,0,5,2,40.0%,21,10.5,4.2,0,52.9,6.8,13,8,1,0,0,0.0,0,30,1,3.2%
493,Rasheem Green\GreeRa01,SEA,22,RDE,16,8,0,0,0,,0,,,0,,,0,0,0,10,1,4.0,15,27,3,10.0%
494,B.J. Hill\HillB.00,NYG,24,LDE,16,5,0,1,1,100.0%,-6,-6.0,-6.0,0,79.2,-7.0,-7,1,0,3,1,1.0,5,36,2,5.3%
495,Delano Hill\HillDe02,SEA,24,,12,4,0,6,3,50.0%,76,25.3,12.7,0,95.8,19.2,61,15,2,1,0,0.0,1,25,5,16.7%
496,Amani Hooker\HookAm00,TEN,21,,16,0,0,13,6,46.2%,67,11.2,5.2,0,62.0,9.5,54,13,2,1,0,0.0,1,20,1,4.8%
497,Jaleel Johnson\JohnJa09,MIN,25,,16,3,0,0,0,,0,,,0,,,0,0,0,1,1,3.5,6,29,1,3.3%
498,Abry Jones\JoneAb00,JAX,28,LDT,16,15,0,0,0,,0,,,0,,,0,0,0,0,0,2.0,3,31,2,6.1%
499,Gerald McCoy\McCoGe99,CAR,31,DT/LDE,16,16,0,1,1,100.0%,14,14.0,14.0,0,118.7,-7.0,-7,21,0,10,6,5.0,22,37,5,11.9%
500,Brandon Mebane\MebaBr99,LAC,34,NT/RDT,13,13,0,0,0,,0,,,0,,,0,0,0,3,1,1.0,5,27,5,15.6%
501,Eric Murray\MurrEr00,CLE,25,/fs,9,4,0,20,13,65.0%,119,9.2,6.0,0,81.0,9.4,76,43,16,0,0,1.0,1,24,8,25.0%
502,Bilal Nichols\NichBi00,CHI,23,RDE,13,12,0,1,1,100.0%,2,2.0,2.0,0,79.2,-3.0,-3,5,0,2,2,0.0,4,27,2,6.9%
503,Alex Okafor\OkafAl00,KAN,28,LDE,10,9,0,2,1,50.0%,5,5.0,2.5,0,56.2,3.5,5,0,0,1,4,5.0,10,22,2,8.3%
504,Steven Parker\ParkSt00,MIA,24,,14,4,2,13,7,53.8%,107,15.3,8.2,2,81.2,8.2,46,61,3,0,0,0.0,0,20,3,13.0%
